A,B,C,D,E,F,G,H,I,target
0.356,3,+,1.725,1,9,6.749,7.012,2.881,0
0.849,5,-,1.815,2,2,3.453,-5.789,0.467,0
0.060,4,+,1.770,2,3,1.594,-4.874,0.939,0
0.869,4,-,1.656,2,3,5.718,-3.168,0.655,0
0.349,7,-,2.127,,4,4.294,4.256,1.792,0
0.855,4,-,2.032,2,2,5.137,-5.030,0.544,0
0.817,2,-,2.991,3,9,5.947,4.321,1.733,1
0.328,7,-,1.973,3,9,7.435,6.703,1.944,1
0.033,8,-,2.015,3,5,5.724,-6.848,0.543,1
0.988,9,-,1.730,1,7,6.158,-5.598,0.361,0
0.889,7,-,1.829,2,4,7.456,2.352,1.462,1
0.343,4,+,1.663,3,7,1.117,-6.789,0.536,1
0.529,4,+,1.846,1,10,5.609,3.291,1.233,0
0.578,3,-,2.325,2,7,2.971,4.369,1.315,0
0.770,6,-,2.330,2,6,5.542,-1.779,0.847,0
0.934,8,-,1.794,3,5,5.002,7.566,1.382,0
0.415,4,-,2.279,3,10,6.539,6.312,1.841,0
0.977,0,-,1.799,3,8,6.224,-3.028,0.699,1
0.910,6,-,1.808,2,10,3.501,-3.765,0.543,0
0.613,6,-,2.350,1,9,6.155,4.411,1.620,0
0.494,1,-,2.020,1,7,6.821,4.612,1.756,0
0.112,3,-,2.114,1,4,3.723,3.833,1.555,0
0.033,7,-,2.172,2,10,2.830,8.297,2.772,0
0.003,8,-,1.780,3,10,6.084,3.686,1.947,1
0.425,9,-,3.160,3,5,6.648,-7.473,0.367,1
0.932,5,+,2.519,3,10,6.163,7.067,1.007,0
0.625,5,-,2.317,3,7,7.324,-4.884,0.394,1
0.948,3,-,1.862,2,2,6.175,3.012,1.400,0
0.615,3,-,2.725,,4,5.482,-3.807,0.767,0
0.336,3,-,3.195,1,4,5.756,-6.761,0.395,0
0.038,4,-,1.914,1,6,5.986,5.094,2.820,0
0.974,13,-,1.723,1,1,4.363,5.381,1.169,0
0.012,3,-,1.996,2,3,5.554,6.331,2.321,0
0.320,5,-,1.793,2,8,6.774,-3.248,0.927,0
0.066,6,-,1.997,2,10,2.896,2.653,1.586,1
0.328,5,+,1.739,3,1,5.624,-8.344,0.201,1
0.388,8,-,2.520,,1,3.153,-2.235,1.270,0
0.727,2,-,2.363,1,6,2.538,1.629,1.081,0
0.238,7,-,3.410,1,4,5.465,7.623,2.229,1
0.881,3,-,1.702,2,10,6.927,-1.568,0.953,0
0.271,2,-,1.998,2,1,7.085,-8.414,0.256,1
0.129,3,-,1.840,3,1,5.281,4.052,2.728,0
0.989,10,+,1.744,2,8,7.106,-2.948,0.615,0
0.638,3,+,2.081,1,7,4.083,8.104,2.464,0
0.710,4,+,1.951,,5,6.195,-5.156,0.385,0
0.300,9,-,2.024,2,6,5.582,6.013,1.481,0
0.956,3,-,2.482,3,5,2.226,5.681,1.644,0
0.059,5,-,2.084,3,6,5.958,5.683,3.647,1
0.334,7,-,1.709,2,4,6.080,-0.503,0.861,0
0.324,4,-,2.079,1,3,6.153,-4.794,0.517,0
0.006,3,-,1.917,1,10,5.547,-4.568,1.100,0
0.125,3,-,2.097,3,8,8.044,4.653,2.606,1
0.018,4,-,1.874,3,1,5.949,-3.894,0.825,1
0.760,3,-,1.689,2,8,7.385,2.711,1.234,1
0.386,5,+,1.657,,5,6.412,5.477,1.350,0
0.994,2,-,1.925,2,10,5.691,4.270,1.245,0
0.351,6,-,2.097,3,7,5.123,4.883,2.527,0
0.908,3,+,1.805,3,5,4.575,4.959,0.932,0
0.412,7,-,1.916,3,1,3.980,-6.222,0.486,0
0.015,5,+,2.277,,4,5.577,9.238,4.279,0
0.317,3,-,1.776,1,9,2.579,5.492,2.745,0
0.903,3,-,1.972,3,2,5.636,5.899,1.174,0
0.226,5,-,2.005,2,8,4.045,3.223,2.433,0
0.332,6,-,1.914,3,1,2.272,5.420,1.843,0
0.958,8,-,1.814,3,8,5.004,6.712,1.516,0
1.000,3,-,1.721,1,5,5.367,6.112,1.244,0
0.711,5,+,1.692,2,7,5.936,5.429,1.680,0
0.177,8,+,1.933,3,5,5.329,-10.750,-0.125,1
0.239,4,-,1.838,2,10,3.519,-5.561,0.537,1
0.701,2,+,1.985,3,1,3.340,-6.423,0.281,0
0.128,5,-,1.687,1,8,5.271,4.364,2.150,0
0.613,6,+,1.976,1,3,5.107,-4.544,0.521,0
0.677,8,-,1.655,2,10,5.867,-3.567,0.722,0
0.394,3,+,1.688,2,9,6.432,1.723,1.627,0
0.290,8,-,2.104,2,6,2.366,6.064,2.586,0
0.614,7,-,1.673,2,2,3.921,-6.222,0.506,0
0.767,9,-,1.752,1,10,3.700,5.084,1.307,0
0.154,5,-,2.256,3,3,5.682,-6.345,0.615,1
0.082,11,-,1.732,3,6,6.393,5.176,2.209,1
0.659,6,-,2.109,2,9,5.339,-8.971,0.127,0
0.805,4,-,2.401,2,8,6.607,7.542,1.430,1
0.661,6,-,1.792,1,2,6.147,1.841,0.951,0
0.074,7,-,1.862,3,10,6.801,-5.756,0.923,1
0.135,1,+,1.844,1,8,8.375,7.092,2.845,0
0.450,5,-,1.696,2,10,5.166,5.309,1.959,0
0.831,0,-,2.215,2,8,6.102,-5.482,0.510,0
0.139,4,-,1.860,3,3,6.048,-5.081,0.928,1
0.525,4,-,1.660,1,1,5.963,-6.188,0.356,0
0.670,3,-,2.059,1,6,6.226,3.898,1.373,0
0.249,6,-,1.702,1,7,3.461,2.568,2.108,0
0.142,2,+,2.473,1,2,6.323,-3.413,1.091,0
0.163,11,-,1.949,1,5,6.687,4.329,2.530,1
0.229,2,-,1.680,3,6,6.053,6.515,1.708,1
0.511,5,+,2.170,1,10,1.446,-7.097,0.306,0
0.514,3,-,1.695,3,7,2.933,2.115,1.777,0
0.017,4,-,2.179,1,3,6.126,1.994,2.487,0
0.860,7,-,1.656,1,2,6.882,6.736,1.544,0
0.572,7,-,1.783,2,2,3.345,1.331,1.646,0
0.236,4,+,1.716,2,9,2.422,-4.085,0.669,0
0.593,5,-,1.675,3,1,2.569,-3.734,0.675,0
0.999,4,+,1.688,2,4,3.294,7.237,1.389,0
0.541,7,+,1.848,3,9,7.364,2.094,1.406,0
0.473,3,-,2.089,1,10,6.230,-6.202,0.301,0
0.356,4,-,1.687,1,1,4.868,-2.603,1.102,0
0.729,6,-,1.788,3,2,4.238,6.618,1.414,0
0.809,3,-,1.783,1,9,1.833,4.508,1.046,0
0.005,10,-,1.755,3,10,3.418,-7.116,0.593,0
0.386,6,-,1.808,3,4,6.214,-5.712,0.670,0
0.939,5,-,2.310,1,6,2.817,4.328,1.194,0
0.484,3,-,2.139,3,8,3.310,3.087,1.067,0
0.792,4,-,2.041,2,10,5.537,-4.186,0.373,1
0.093,3,-,1.737,1,1,2.493,4.861,2.023,0
0.548,8,-,2.357,1,10,1.893,3.366,1.069,0
0.032,10,-,2.467,3,10,2.692,-6.919,0.393,0
0.942,6,-,2.682,1,2,6.385,4.188,1.304,0
0.122,2,+,1.801,1,1,6.111,7.431,2.212,0
0.637,1,-,1.888,3,5,4.968,-3.210,0.773,0
0.960,4,-,1.972,1,3,6.446,4.280,1.525,0
0.096,6,-,2.317,1,6,2.585,-0.687,1.371,1
0.343,3,-,2.813,1,7,3.000,2.434,1.824,0
0.010,3,-,2.891,1,2,4.370,3.849,1.866,0
0.883,4,-,2.499,1,8,5.343,4.778,1.311,0
0.571,8,+,1.948,3,10,6.714,-2.649,0.820,0
0.419,7,-,2.662,3,9,4.782,4.379,2.333,0
0.200,2,+,1.692,,2,4.285,6.463,1.706,0
0.550,2,-,2.262,1,7,2.438,1.537,0.879,0
0.136,3,-,1.896,1,8,0.735,3.967,2.841,0
0.104,6,-,1.735,2,10,4.760,-2.791,1.256,1
0.255,5,-,1.649,1,3,3.871,-4.767,0.972,0
0.765,10,-,2.880,2,2,6.927,5.216,1.361,1
0.597,10,-,1.871,1,9,6.616,8.212,1.485,0
0.640,4,-,1.787,2,8,3.006,-6.947,0.386,0
0.868,5,+,1.944,2,10,3.440,-4.468,0.588,1
0.680,6,-,2.050,3,4,5.836,5.079,1.637,1
0.575,4,-,2.386,3,3,6.899,-3.894,0.572,1
0.845,8,-,2.073,3,6,7.549,-3.404,0.586,1
0.383,4,-,1.948,1,7,2.308,-5.703,0.662,0
0.878,4,-,1.832,1,6,6.738,-6.176,0.435,0
0.713,11,+,1.756,1,5,5.343,-4.566,0.371,1
0.023,4,-,1.765,2,3,4.775,-2.940,0.907,0
0.327,3,+,1.941,2,9,6.739,-5.761,0.553,1
0.942,8,-,2.391,1,2,7.087,-3.443,0.643,0
0.951,6,-,3.250,3,3,1.919,-3.165,0.543,0
0.216,6,-,2.215,1,10,6.779,4.662,2.191,0
0.256,5,+,1.986,,8,5.710,-2.443,1.244,0
0.312,1,-,1.735,1,5,6.858,-6.430,0.403,0
0.895,5,-,1.736,3,7,3.280,-4.802,0.309,0
0.950,7,+,1.764,3,1,6.605,5.351,1.563,0
0.637,5,-,2.084,1,10,6.210,-4.847,0.422,0
0.847,2,-,2.162,2,8,6.104,-3.970,0.391,1
0.028,6,+,1.740,1,10,5.389,-3.549,0.909,0
0.123,3,-,1.659,3,10,4.360,-0.838,1.013,1
0.601,4,+,1.712,3,6,6.115,2.699,1.351,1
0.195,5,+,1.723,2,5,0.912,-5.042,0.791,1
0.927,8,-,1.663,1,6,1.647,3.996,0.871,0
0.506,3,+,1.948,3,5,2.897,-2.919,0.614,0
0.411,6,-,1.939,3,5,6.301,-3.416,0.758,0
0.839,7,-,2.068,1,5,6.993,-7.118,0.324,1
0.789,3,-,1.779,1,6,1.547,3.208,1.388,0
0.409,2,+,2.243,1,3,2.746,-3.546,0.847,0
0.977,3,-,2.925,,7,3.372,-4.770,0.415,0
0.987,4,+,1.709,3,5,2.544,5.536,1.284,0
0.836,1,+,1.822,2,5,4.852,4.481,0.960,0
0.566,11,-,2.115,3,7,3.035,-6.672,0.254,0
0.110,6,-,1.711,1,3,4.807,-3.691,0.824,1
0.204,4,+,1.749,2,7,4.898,-7.052,0.434,1
0.339,5,-,2.940,3,9,2.639,6.530,2.837,0
0.405,2,-,1.811,3,10,3.576,-4.874,0.719,0
0.912,3,-,1.792,1,7,5.780,-2.129,0.585,0
0.461,5,+,1.991,1,1,2.562,-6.106,0.386,0
0.709,6,+,1.766,3,8,7.223,-4.427,0.569,1
0.713,10,-,1.840,1,7,7.111,4.835,1.325,0
0.822,15,-,2.496,2,4,5.042,6.578,1.657,0
0.624,6,-,2.016,,6,5.742,6.365,2.039,0
0.591,6,-,2.012,3,1,6.052,0.382,0.939,0
0.537,5,-,1.754,2,8,2.926,2.360,1.217,0
0.295,5,-,2.137,1,2,2.395,-5.982,0.662,0
0.171,3,-,2.050,2,8,3.218,3.969,1.885,0
0.642,1,-,2.320,3,5,4.650,-4.512,0.615,0
0.383,2,-,2.072,1,6,5.900,5.548,2.350,0
0.909,5,-,2.116,3,9,3.620,8.610,1.687,0
0.033,8,-,1.808,3,7,3.095,-4.380,1.148,1
0.739,5,-,3.196,2,10,5.714,-2.182,0.733,0
0.865,7,-,1.794,3,5,6.219,3.623,1.034,1
0.068,7,-,1.696,3,8,7.776,-5.653,0.868,1
0.783,5,-,1.853,3,9,4.485,-5.585,0.411,1
0.439,7,-,1.944,1,1,7.113,-6.324,0.550,0
0.881,3,-,2.635,1,6,3.558,5.521,1.486,0
0.567,3,-,1.917,2,5,5.872,4.159,1.458,0
0.990,8,-,2.690,2,10,3.941,-6.942,0.278,0
0.487,5,-,1.691,3,9,5.133,-6.052,0.456,0
0.647,1,-,3.172,2,6,5.394,-5.171,0.563,1
0.016,5,+,1.784,,7,4.496,5.851,2.321,0
0.988,2,-,2.505,2,6,3.928,-5.730,0.332,0
0.448,5,+,2.053,1,3,7.432,7.028,2.164,0
0.119,6,-,1.685,1,4,4.782,4.987,3.108,0
0.668,6,-,1.825,1,7,3.963,5.221,1.985,0
0.626,7,-,1.751,3,6,6.115,9.144,1.482,0
0.149,10,-,1.733,3,6,5.404,4.283,1.725,1
0.347,6,-,2.546,2,3,6.090,-1.183,1.064,1
0.613,4,+,1.749,2,9,6.774,-3.300,0.712,0
0.913,3,-,1.676,1,8,7.396,5.769,1.300,0
0.023,7,-,1.791,1,2,2.750,4.431,2.753,0
0.991,5,+,1.756,2,5,2.659,6.713,1.263,1
0.894,9,-,1.756,2,3,4.300,5.476,1.724,0
0.041,5,-,1.750,2,1,7.493,7.240,2.354,0
0.718,3,-,1.845,,3,3.255,6.503,1.461,0
0.264,5,+,1.762,,7,5.846,3.035,1.684,0
0.238,3,-,2.612,3,7,2.816,-2.709,1.073,1
0.479,2,-,1.671,3,3,6.723,-6.137,0.358,0
0.535,5,-,2.245,1,8,2.778,6.230,1.313,0
0.049,10,+,1.794,1,2,2.744,8.390,3.169,0
0.593,2,-,2.083,3,2,6.218,-5.443,0.435,1
0.907,5,-,2.060,2,10,3.827,0.273,0.982,0
0.802,4,-,2.402,3,4,5.098,2.029,1.325,0
0.708,5,-,1.670,2,10,6.865,-3.704,0.478,1
0.082,11,-,2.463,2,8,1.453,-1.579,1.794,1
0.409,7,-,2.264,2,9,6.264,3.816,1.711,0
0.378,5,+,1.697,,2,6.634,-0.027,1.488,0
0.369,3,-,1.890,2,10,6.117,-5.962,0.504,1
0.612,4,-,1.792,2,5,3.829,7.901,1.501,0
0.390,5,-,2.101,2,2,5.530,-2.979,0.987,0
0.956,7,+,2.371,2,5,5.230,3.323,0.872,0
0.598,4,-,2.010,3,8,6.958,3.350,1.446,1
0.979,1,-,1.907,1,1,6.029,7.192,1.560,0
0.057,6,-,1.941,2,2,6.685,4.986,2.380,0
0.319,1,-,2.117,2,7,5.624,-8.052,0.217,1
0.093,3,-,1.967,3,8,2.294,-4.587,1.066,1
0.963,10,-,1.820,1,4,6.157,-5.203,0.283,0
0.326,3,-,1.746,3,6,2.218,-2.609,0.775,1
0.990,7,-,1.989,3,5,6.566,3.095,1.330,0
0.005,6,-,2.006,1,6,5.791,-4.404,0.750,0
0.889,9,-,2.004,,5,4.824,6.470,1.118,0
0.312,6,-,1.946,1,3,3.939,5.341,1.401,0
0.063,5,+,1.846,1,8,4.216,-1.998,1.308,0
0.646,6,-,1.870,3,2,5.993,-5.677,0.439,1
0.064,7,-,2.321,1,2,6.323,-7.102,0.668,0
0.029,3,-,1.874,2,6,6.087,5.222,2.797,0
0.610,3,+,1.973,3,5,5.192,-9.273,0.082,1
0.487,2,-,2.230,3,4,3.678,-8.298,0.163,0
0.639,9,-,1.764,1,4,3.047,-4.205,0.422,0
0.519,6,+,1.735,,1,6.493,-3.172,0.701,0
0.713,5,+,1.726,1,1,6.984,7.129,2.005,0
0.499,6,-,2.028,1,4,4.410,2.348,1.828,0
0.843,6,-,1.808,,8,5.322,4.588,1.222,0
0.922,12,-,2.182,3,2,6.674,2.872,1.215,0
0.022,4,-,2.129,3,3,4.995,0.555,1.294,0
0.104,7,-,1.969,2,10,6.380,-2.110,1.641,0
0.016,5,-,2.195,2,2,4.725,-2.191,1.365,0
0.997,8,-,2.244,2,6,5.072,1.968,1.276,0
0.226,5,+,2.526,3,3,6.124,-4.435,1.069,1
0.441,6,-,2.130,1,6,6.491,-7.015,0.272,0
0.482,6,-,2.034,1,5,6.157,3.244,1.926,0
0.227,3,+,2.021,2,2,2.465,7.082,1.902,0
0.747,4,-,3.301,3,8,5.894,-2.048,0.962,1
0.524,7,-,2.132,2,1,7.469,-9.873,0.019,0
0.775,3,-,1.724,1,5,5.175,-3.761,0.534,1
0.460,4,+,2.058,2,7,2.752,3.391,1.505,0
0.804,7,-,2.857,1,4,6.119,-4.822,0.540,1
0.205,0,-,1.830,3,5,2.314,-2.004,1.451,1
0.306,4,-,1.960,1,10,3.900,-2.218,1.179,0
0.789,9,+,2.308,1,4,5.376,-4.812,0.437,0
0.632,2,-,1.787,2,1,3.967,-2.241,0.925,0
0.800,2,-,1.760,2,8,7.755,7.722,1.835,0
0.666,3,+,2.167,3,7,5.584,-7.470,0.326,1
0.873,5,-,2.189,1,3,4.996,-5.977,0.343,0
0.855,4,-,1.812,2,4,6.085,4.922,1.524,0
0.462,3,-,1.943,2,5,7.100,-5.526,0.366,0
0.151,2,-,2.177,2,5,4.159,1.973,1.278,0
0.996,10,-,1.836,,1,3.086,6.647,1.214,0
0.731,1,-,3.771,2,4,6.425,3.081,1.395,1
0.150,3,-,1.883,2,1,3.198,2.749,2.618,1
0.520,4,-,1.874,3,5,6.962,3.497,1.689,0
0.766,3,+,2.197,3,4,5.403,-0.626,0.920,1
0.054,7,-,2.250,3,1,6.152,0.208,1.345,1
0.994,7,-,2.091,2,8,6.986,-5.157,0.447,0
0.886,4,+,2.279,3,5,6.465,-4.216,0.394,1
0.172,4,-,2.959,2,6,2.424,-5.534,0.865,1
0.202,6,-,1.997,2,10,1.769,3.105,2.126,1
0.380,5,-,2.109,3,4,6.114,-5.087,0.621,1
0.062,3,-,2.309,1,2,6.127,-3.749,1.280,0
0.932,8,-,1.729,3,3,2.319,-3.153,0.652,0
0.536,6,-,3.069,3,4,3.226,6.616,1.394,0
0.087,2,-,2.119,2,4,3.588,5.230,2.529,0
0.992,6,-,2.195,1,8,6.746,-5.537,0.388,0
0.766,3,-,2.085,,2,7.104,-5.247,0.519,0
0.604,5,-,1.889,1,7,2.862,5.443,1.664,0
0.693,6,-,2.226,2,10,2.446,-5.560,0.555,1
0.408,3,+,1.896,3,5,5.768,-6.210,0.562,1
0.746,3,-,2.201,1,3,5.898,3.907,1.171,0
0.331,8,+,2.030,1,8,6.196,6.986,1.759,0
0.335,5,-,1.783,2,7,2.305,-1.536,1.191,0
0.113,6,-,1.927,2,2,7.348,4.401,1.950,0
0.474,5,-,2.772,3,8,5.956,-5.766,0.510,0
0.924,6,-,1.960,2,10,6.099,-5.427,0.376,0
0.278,5,+,1.760,1,3,6.317,-7.788,0.336,0
0.258,3,-,1.726,2,9,2.636,-3.155,0.960,1
0.090,7,-,1.774,,7,6.051,6.499,3.552,0
0.585,3,-,2.247,1,2,5.188,-3.603,0.666,0
0.533,7,-,1.919,,2,7.502,6.622,1.797,0
0.869,4,-,1.772,,4,5.592,-1.356,0.793,0
0.999,7,-,2.387,2,4,2.813,-6.168,0.353,0
0.091,6,-,1.751,1,7,5.877,-3.079,1.200,1
0.829,7,+,2.373,3,9,7.182,-4.160,0.703,1
0.397,2,-,1.784,3,5,2.494,6.420,1.675,0
0.876,1,-,1.697,3,1,4.857,-4.445,0.446,1
0.407,5,-,1.666,1,8,7.082,-3.284,1.112,0
0.269,3,-,2.061,1,1,4.238,2.100,1.360,0
0.254,5,-,1.992,1,8,5.807,-7.762,0.316,0
0.062,4,+,1.754,,8,5.421,6.677,2.029,0
0.267,4,-,2.399,2,8,5.301,-7.880,0.306,1
0.939,3,-,1.763,3,10,6.246,3.584,1.302,0
0.883,3,+,1.886,3,6,6.234,-5.037,0.337,1
0.536,3,-,2.189,1,8,5.381,7.411,2.177,0
0.795,2,-,1.781,3,2,2.647,-4.039,0.422,1
0.002,1,-,1.746,2,9,2.915,5.603,2.510,0
0.493,6,-,1.792,3,2,4.545,-7.539,0.246,0
0.306,4,-,1.847,3,5,6.137,5.220,2.064,0
0.086,2,-,1.789,3,7,4.889,3.118,1.818,1
0.952,6,+,2.526,3,1,5.550,6.620,1.268,0
0.833,5,-,2.011,3,9,4.323,-5.949,0.417,0
0.653,5,-,2.391,3,4,6.349,1.957,1.361,1
0.839,2,-,1.873,3,5,5.778,5.100,1.591,0
0.711,3,-,1.918,3,3,5.717,-4.181,0.691,1
0.830,4,+,2.654,,3,6.324,-2.677,0.787,0
0.631,6,-,1.717,1,4,3.777,6.976,1.735,0
0.713,3,-,2.135,2,5,6.480,5.504,1.383,0
0.520,8,+,1.972,1,5,3.182,-4.377,0.796,0
0.693,3,-,1.945,1,2,5.624,6.742,1.357,0
0.484,7,+,2.246,1,1,3.688,-6.827,0.461,0
0.831,7,+,2.287,2,1,7.206,4.067,1.640,1
0.847,10,-,2.495,3,3,2.409,-6.164,0.423,1
0.362,3,-,2.169,,4,6.143,-4.207,0.907,0
0.878,5,+,1.942,3,10,5.585,-5.262,0.344,1
0.722,5,+,3.267,3,3,4.257,5.687,1.146,0
0.973,6,-,1.699,2,6,6.006,6.040,1.566,0
0.968,1,+,1.923,3,2,6.210,-2.915,0.486,0
0.895,4,-,1.881,,5,5.887,4.179,1.527,0
0.857,7,-,2.070,1,5,5.142,7.651,1.362,0
0.601,6,+,1.974,3,5,5.343,6.730,2.023,0
0.624,6,-,2.641,2,8,6.458,6.109,1.546,0
0.344,4,-,2.675,2,10,3.723,6.176,2.176,0
0.878,4,-,1.856,2,9,3.434,-8.301,0.112,0
0.447,3,-,1.909,3,4,3.377,4.634,2.162,0
0.626,1,-,2.169,,10,6.091,6.906,1.681,0
0.062,3,-,1.811,3,9,4.775,2.955,1.806,0
0.068,5,-,1.777,1,5,7.149,5.928,3.526,0
0.010,3,-,1.656,2,7,2.250,6.966,3.075,0
0.585,6,-,2.277,3,3,5.635,-5.451,0.383,0
0.248,1,+,1.681,3,10,6.143,8.628,1.811,1
0.651,5,-,2.552,2,7,6.949,-4.188,0.487,0
0.231,3,-,1.670,2,9,3.228,-4.360,1.062,1
0.085,6,-,2.095,3,9,6.911,-1.174,1.955,1
0.332,3,-,1.855,3,7,2.563,-4.615,0.492,1
0.963,3,-,2.441,1,5,6.417,-10.341,-0.023,0
0.989,6,-,2.068,3,5,7.129,-2.356,0.640,1
0.809,5,-,1.806,2,9,5.185,4.498,1.104,0
0.630,3,-,2.762,,7,5.663,-4.205,0.505,0
0.607,5,-,1.916,3,4,3.614,5.495,1.202,0
0.008,2,-,1.802,3,1,5.211,-6.181,0.495,0
0.834,5,-,1.665,1,10,3.175,-3.038,0.811,0
0.709,4,-,2.044,2,1,5.933,-8.609,0.115,1
0.115,8,-,1.660,1,3,3.692,-4.214,1.251,0
0.250,7,+,1.798,,3,6.903,10.701,3.450,0
0.454,5,-,2.197,3,8,2.674,-8.703,0.123,0
0.385,4,+,2.107,1,6,5.099,-5.913,0.521,0
0.378,5,-,2.151,3,8,5.859,-5.339,0.713,0
0.515,6,-,2.476,1,9,5.466,-5.621,0.603,0
0.088,5,-,1.952,3,7,4.150,-0.211,1.105,0
0.378,2,-,1.683,2,6,0.921,-1.887,1.037,0
0.195,7,-,1.711,3,5,6.501,-5.647,0.681,1
0.112,4,-,1.743,2,5,3.243,6.455,2.270,0
0.133,4,-,2.561,2,3,5.937,6.454,2.627,1
0.157,6,-,1.894,,5,3.943,3.309,1.865,0
0.274,5,+,1.841,1,7,6.112,-9.095,0.094,0
0.133,7,-,1.982,2,6,5.552,5.331,2.165,0
0.065,7,+,1.825,1,8,6.877,-3.557,1.162,0
0.905,6,-,2.755,,3,3.225,3.620,1.249,0
0.852,6,-,1.847,3,8,3.065,-5.645,0.276,1
0.609,5,-,2.072,1,6,4.740,6.069,2.091,0
0.590,7,-,2.256,1,8,6.467,8.482,1.800,0
0.307,5,-,1.834,2,8,3.322,1.950,1.252,0
0.006,9,-,2.620,1,3,5.118,-2.305,0.971,0
0.533,7,-,1.835,2,5,2.737,7.204,1.774,0
0.293,4,-,1.742,1,7,6.641,-7.569,0.327,0
0.363,8,-,1.667,2,7,6.532,3.858,1.878,0
0.229,4,-,2.229,2,7,1.964,-2.622,1.236,1
0.006,4,-,2.013,3,3,2.962,3.771,2.877,0
0.915,2,-,1.683,3,1,2.881,-5.337,0.290,1
0.485,3,-,2.479,2,5,6.522,5.140,1.245,0
0.156,5,-,1.742,1,10,2.612,-5.616,0.586,1
0.979,3,-,2.119,2,7,2.546,-5.660,0.363,0
0.167,5,-,1.770,1,4,5.338,7.107,2.226,0
0.699,1,-,1.932,3,8,6.193,4.345,1.119,0
0.926,9,-,1.741,1,8,7.263,-4.977,0.470,0
0.151,3,-,2.332,3,7,6.443,-8.067,0.248,1
0.235,6,-,1.814,1,3,4.543,-4.633,0.984,0
0.054,6,-,1.843,3,1,6.190,-3.944,1.090,1
0.500,2,-,1.675,1,6,7.365,5.769,1.932,0
0.823,6,-,1.926,2,9,6.667,5.182,1.173,0
0.047,4,-,1.867,3,10,5.090,-4.905,1.008,1
0.319,3,-,2.252,1,6,5.524,6.024,1.767,0
0.270,3,-,2.502,3,2,2.603,-1.756,1.521,1
0.562,2,-,2.095,2,4,7.047,8.656,1.986,0
0.604,3,+,2.423,3,9,7.207,5.133,1.404,0
0.408,6,-,2.205,2,3,2.629,8.011,2.307,0
